category,style
Doppelbock,Bocks
Eisbock,Bocks
Maibock,Bocks
Traditional,Bocks
Weizenbock,Bocks
Bock,Bocks
Bock Beers,Bocks
Bocks,Bocks
Bocks/Dopplebocks,Bocks
Doppelbocks,Bocks
German Style Doppelbock,Bocks
German Style Doppelbock or Eisbock,Bocks
German Style Strong Bock,Bocks
American Brown Ale,Brown Ales
English Brown Ale,Brown Ales
English Mild,Brown Ales
Altbier,Brown Ales
German Style Altbier,Brown Ales
Belgian Dark,Brown Ales
Brown Ale,Brown Ales
American Brown Ales,Brown Ales
American Style Brown Ale,Brown Ales
Mild Ale - English Dark,Brown Ales
Brown Ales,Brown Ales
English Style Brown Ale,Brown Ales
German Style Brown / Dusseldorf Style Altbier,Brown Ales
German Style Brown Ale / Dusseldorf Style Altbier,Brown Ales
Dubbel,Dark Ales
Rye Beer Roggenbier,Dark Ales
Roggenbier,Dark Ales
Scottish Ale,Dark Ales
Scottish Ales,Dark Ales
Winter Warmer,Dark Ales
Scottish Style Ale,Dark Ales
English Dark Mild Ale,Dark Ales
English Style Mild Ale,Dark Ales
Belgian Dark Ale,Dark Ales
Belgian Strong Dark Ale,Dark Ales
Belgian Style Abbey Ale,Dark Ales
Belgian Style Ale,Dark Ales
Belgian Style Ales,Dark Ales
Belgian Style Dubbel or Quadrupel,Dark Ales
American Amber / Red Lager,Dark Lagers
American Amber / Red,Dark Lagers
American Amber,Dark Lagers
American Red,Dark Lagers
European Dark,Dark Lagers
Marzen,Dark Lagers
German Style Maerzen,Dark Lagers
German Style Maerzen / Oktoberfest,Dark Lagers
Märzen / Oktoberfest,Dark Lagers
Oktoberfest,Dark Lagers
Munich Dunkel,Dark Lagers
European Style Dark / Munchner,Dark Lagers
European Style Dark / Munchner Dunkel,Dark Lagers
European Style Dark / Munchener Dunkel,Dark Lagers
European Style Dunkel,Dark Lagers
Rauchbier,Dark Lagers
Schwarzbier,Dark Lagers
German Style Schwarzbier,Dark Lagers
Vienna,Dark Lagers
Vienna Lager,Dark Lagers
Vienna Style Lager,Dark Lagers
Amber/Viennas,Dark Lagers
Vienna/Marzen/Octoberfest Beer,Dark Lagers
American Dark Lager,Dark Lagers
Amber Lager,Dark Lagers
American Style Amber Lager,Dark Lagers
"American Style ""Light"" Amber Lager",Dark Lagers
American Amber Lager,Dark Lagers
American Style Dark Lager,Dark Lagers
Dark Lager,Dark Lagers
Euro Dark Lager,Dark Lagers
Bière de Champagne,Hybrid Beers
Bière Brut,Hybrid Beers
Braggot,Hybrid Beers
California Common,Hybrid Beers
Steam Beer,Hybrid Beers
Cream Ale,Hybrid Beers
American Style Cream Ale,Hybrid Beers
American Style Cream Ale or Lager,Hybrid Beers
American Cream Ales,Hybrid Beers
California Common / Steam Beer,Hybrid Beers
Cream Ales,Hybrid Beers
India Pale Ale,India Pale Ales
IPA,India Pale Ales
Double India Pale Ale,India Pale Ales
Double IPA,India Pale Ales
American India Pale Ale,India Pale Ales
American IPA,India Pale Ales
Belgian India Pale Ale,India Pale Ales
Belgian IPA,India Pale Ales
Black India Pales Ale,India Pale Ales
American Style India Black Ale,India Pale Ales
Black IPA,India Pale Ales
Cascadian Dark Ale,India Pale Ales
Brut India Pales Ale,India Pale Ales
Brut IPA,India Pale Ales
English India Pales Ale,India Pale Ales
English IPA,India Pale Ales
Imperial India Pales Ale,India Pale Ales
Imperial IPA,India Pale Ales
American Double / Imperial IPA,India Pale Ales
American Double / Imperial Pilsner,India Pale Ales
New England India Pales Ale,India Pale Ales
New England IPA,India Pale Ales
Imperial or Double India Pale Ale,India Pale Ales
Imperial India Pale Ale,India Pale Ales
American Black Ale,India Pale Ales
American Style Black Ale,India Pale Ales
American White IPA,India Pale Ales
English India Pale Ale (IPA),India Pale Ales
English Style India Pale Ale,India Pale Ales
American Style India Pale Ale,India Pale Ales
Ales,Pale Ales
Belgian  and French Ale,Pale Ales
Belgian  and French Style Ale,Pale Ales
Belgian and French Style Ale,Pale Ales
Bitter,Pale Ales
English Style Strong Bitter,Pale Ales
Wood  and Barrel aged Strong Beer,Pale Ales
English Style (Extra Special) Strong Bitter,Pale Ales
(Extra Special) Strong Bitter,Pale Ales
English Style Bitter,Pale Ales
Ordinary or Special Bitter,Pale Ales
English Bitter,Pale Ales
Extra Special / Strong Bitter (ESB),Pale Ales
Extra Special,Pale Ales
Extra Strong Bitter,Pale Ales
Extra Strong Bitter (ESB),Pale Ales
Bitter or Pale Mild Ale,Pale Ales
Extra Special Bitter,Pale Ales
Extra Special Bitter or Strong Bitter,Pale Ales
ESB,Pale Ales
Blonde Ale,Pale Ales
Belgian Style Blonde Ale or Pale Ale,Pale Ales
Other Belgian Style Ale,Pale Ales
Blonde/Golden Ales,Pale Ales
Golden Ale / Canadian Style Ale,Pale Ales
Golden or Blonde Ale,Pale Ales
Blond/Golden Ales,Pale Ales
Belgian Blonde Ale,Pale Ales
American Blonde Ale,Pale Ales
Bière de Garde,Pale Ales
Saison / Farmhouse Ale,Pale Ales
Saison,Pale Ales
Farmhouse Ale,Pale Ales
Kölsch,Pale Ales
German Style Koelsch,Pale Ales
German Style Kolsch / Koln Style Kolsch,Pale Ales
Pale Ales,Pale Ales
English Style Summer Ale,Pale Ales
English Mild Pale Ale (EMPA),Pale Ales
English Mild Pale Ale,Pale Ales
English Mild,Pale Ales
American Pale Ale,Pale Ales
American Pale Ale (APA),Pale Ales
APA,Pale Ales
Belgain Pale Ale,Pale Ales
Belgain Pale Ale (BPA),Pale Ales
English Pale Ale,Pale Ales
Classic English Pale Ale,Pale Ales
Classic English Style Pale Ale,Pale Ales
English Pale Ale (EPA),Pale Ales
Pale Ale,Pale Ales
Belgian Pale Ale,Pale Ales
American Amber / Red Ale,Pale Ales
American Style Amber / Red Ale,Pale Ales
American Amber Ale,Pale Ales
American Style Amber Ale,Pale Ales
American Red Ale,Pale Ales
Irish Red Ale,Pale Ales
Amber Ale,Pale Ales
Amber Ale/American Pale Ales,Pale Ales
American Amber/Red Ale,Pale Ales
American Style Amber/Red Ale,Pale Ales
Amber Ales,Pale Ales
American Belgo Style Ale,Pale Ales
Alts,Pale Ales
American Lagers,Pale Lagers
American Style Lager,Pale Lagers
American Style Lager / Ale Or Cream Ale,Pale Lagers
American Style Lager or American Style Malt Liquor,Pale Lagers
American Style Lager or American Style Pilsener,Pale Lagers
American Style Lager or Ice Lager or Malt Liquor,Pale Lagers
American Style Lager or Light Lager,Pale Lagers
American Light Lager,Pale Lagers
American Light Lagers,Pale Lagers
American Light Pilsners,Pale Lagers
American Pilsener,Pale Lagers
American Malt Liquor,Pale Lagers
American Style Lager or Premium Lager,Pale Lagers
"American Style Lager, Light Lager or Premium Lager",Pale Lagers
American Style Lager/Ale or Cream,Pale Lagers
America Style Light Lager,Pale Lagers
American Style Lager/Ale or Cream Ale,Pale Lagers
American Style Light Lager,Pale Lagers
American Style Light Lager or German Style Light Lager,Pale Lagers
American Pale Lager,Pale Lagers
American Adjunct Lager,Pale Lagers
International Style Pilsener,Pale Lagers
Adjunct Lager,Pale Lagers
American Lager,Pale Lagers
European Lager,Pale Lagers
Munich Helles,Pale Lagers
Dortmunder Export,Pale Lagers
Dortmunder or German Style Oktoberfest,Pale Lagers
Dortmunder / European Style Export,Pale Lagers
Dortmunder / Export Lager,Pale Lagers
Dortmunder,Pale Lagers
European Pale Lager,Pale Lagers
European Strong Lager,Pale Lagers
Helles,Pale Lagers
Helles Lager,Pale Lagers
Munich Helles Lager,Pale Lagers
Munchner Style Helles,Pale Lagers
Munchner Helles,Pale Lagers
Munchener Helles,Pale Lagers
Munchener Helles And Export,Pale Lagers
Munich Style Helles,Pale Lagers
American India Pale Lager,Pale Lagers
India Pale Lager (IPL),Pale Lagers
India Pale Lager,Pale Lagers
IPL,Pale Lagers
Zwickelbier,Pale Lagers
Kellerbier or Zwickelbier,Pale Lagers
Kellerbier,Pale Lagers
Light Lager,Pale Lagers
Malt Liquor Lager,Pale Lagers
Malt Liquor,Pale Lagers
Pilsner,Pale Lagers
German Style Pilsener,Pale Lagers
European Pilsner,Pale Lagers
American Specialty Lager,Pale Lagers
American Style Specialty Lager,Pale Lagers
American Style Specialty Lager or Cream Ale or Lager,Pale Lagers
American Pilsner,Pale Lagers
American Pilseners,Pale Lagers
American Style or International Style Pilsener,Pale Lagers
European Style Pilsener,Pale Lagers
American Premium Lager,Pale Lagers
Bohemian / Czech Pislner,Pale Lagers
Czech Pilsener,Pale Lagers
Bohemian Style Pilsener,Pale Lagers
German Pilsener,Pale Lagers
Bohemian Pislner,Pale Lagers
Czech Pislner,Pale Lagers
German Pislner,Pale Lagers
Specialty Saison,Pale Lagers
French  Belgian Style Saison,Pale Lagers
Classic Saison,Pale Lagers
French  and Belgian Style Saison,Pale Lagers
Imperial Pislner,Pale Lagers
Irish Style Red Ale,Pale Lagers
Double Hoppy Red Ale,Pale Lagers
Double Red Ale,Pale Lagers
International Style Pale Ale,Pale Lagers
Imperial or Double Red Ale,Pale Lagers
American Dry Lager,Pale Lagers
Dry Beers,Pale Lagers
American Style Pale Ale,Pale Lagers
American Style Premium Lager,Pale Lagers
Porter,Porters
American Porter,Porters
Baltic Porter,Porters
English Porter,Porters
Imperial Porter,Porters
Robust Porter,Porters
Smoked Porter,Porters
Robust Porter,Porters
Porters,Porters
Baltic Style Porter,Porters
Brown Porter,Porters
Chili Beer,Specialty Beers
Chile Beer,Specialty Beers
Sahti,Specialty Beers
Coffee Beer,Specialty Beers
Coffee Flavored Beer,Specialty Beers
Fruit and Field Beer,Specialty Beers
Belgian Style Fruit Beer,Specialty Beers
American Style Fruit Beer,Specialty Beers
Gruit / Ancient Herbed Ale,Specialty Beers
Happoshu,Specialty Beers
Herb and Spice Beer,Specialty Beers
Kvass,Specialty Beers
Japanese Rice,Specialty Beers
Low Alcohol Beer,Specialty Beers
Pumpkin Beer,Specialty Beers
Rye Beer,Specialty Beers
Specialty Honey Lagers or Ales,Specialty Beers
Specialty Honey Beer,Specialty Beers
Specialty Honey Ales Or Lagers,Specialty Beers
Smoke Flavored,Specialty Beers
Smoke Beer,Specialty Beers
Smoke Flavored Beer,Specialty Beers
Smoked Beer,Specialty Beers
Smoke Flavored Beers,Specialty Beers
Specialty Beer,Specialty Beers
Belgian Style Specialty Ale,Specialty Beers
Belgian Style Strong Specialty Ale,Specialty Beers
Pumpkin/Squash Beer or Pumpkin Spice Beer,Specialty Beers
Session Beer,Specialty Beers
Session India Pale Ale,Specialty Beers
Pumpkin Ale,Specialty Beers
Proam,Specialty Beers
Pro Am Competition,Specialty Beers
Non Alcoholic Malt Beverage,Specialty Beers
Non Alcoholic (Beer) Malt Beverage,Specialty Beers
Honey Beer,Specialty Beers
Chocolate / Cocoa Flavored Beer,Specialty Beers
Chocolate Beer,Specialty Beers
Experimental Beer,Specialty Beers
Experimental Beer (Lager or Ale),Specialty Beers
Gluten Free Beer,Specialty Beers
Aged Beer,Specialty Beers
Aged Beer (Ale or Lager),Specialty Beers
Wood  and Barrel aged Beer,Specialty Beers
Specialty Honey Lager or Ale,Specialty Beers
Specialty,Specialty Beers
Stout,Stouts
Stouts,Stouts
Milk / Sweet Stout,Stouts
Sweet Stout,Stouts
American Stout,Stouts
American Imperial Stout,Stouts
English Stout,Stouts
Foreign Stout,Stouts
Foreign / Export Stout,Stouts
Export Stout,Stouts
Irish Dry Stout,Stouts
Oatmeal Stout,Stouts
Russian Imperial Stout,Stouts
Imperial Stout,Stouts
Sweet / Milk Stout,Stouts
Classic Irish Dry Stout,Stouts
Sweet Stout or Cream Stout,Stouts
Wood  and Barrel Aged Strong Stout,Stouts
American Style Stout,Stouts
American Double / Imperial Stout,Stouts
British Stout,Stouts
Classic Irish Style Dry Stout,Stouts
Coffee Stout or Porter,Stouts
Dry Stout,Stouts
Dry Stouts,Stouts
Foreign (Export) Style Stout,Stouts
Foreign Style Stout,Stouts
Specialty Stouts,Stouts
Barley wine,Strong Ales
Barley Wine Style Ale,Strong Ales
American Barleywine,Strong Ales
American Barley wine,Strong Ales
English Barley wine,Strong Ales
Old Ale,Strong Ales
Scotch Ale,Strong Ales
Quadrupel (Quad),Strong Ales
Imperial Red Ale,Strong Ales
Scotch Ale / Wee Heavy,Strong Ales
Strong Ale,Strong Ales
Strong Ales,Strong Ales
American Strong Pale Ale,Strong Ales
American Style Strong Pale Ale,Strong Ales
American Strong Ale,Strong Ales
Belgian Dark Strong Ale,Strong Ales
Belgian Pale Strong Ale,Strong Ales
English Strong Ale,Strong Ales
Barley Wine Ale,Strong Ales
Barley Wine,Strong Ales
Barley Wines,Strong Ales
Belgian Strong Pale Ale,Strong Ales
Tripel,Strong Ales
Belgian Style Tripel,Strong Ales
Strong Scotch Ale,Strong Ales
Other Strong Beer,Strong Ales
Other Strong Ale or Lager,Strong Ales
Wheatwine Wheat Beer,Strong Ales
Old Ale/Strong Ale,Strong Ales
Old Ale or Strong Ale,Strong Ales
American Dark Wheat Beer,Wheat Beers
American Pale Wheat Beer,Wheat Beers
Dunkelweizen,Wheat Beers
Hefeweizen,Wheat Beers
American Hefeweizen,Wheat Beers
American Style Hefeweizen,Wheat Beers
Kristallweizen,Wheat Beers
Witbier,Wheat Beers
Belgian Style Witbier,Wheat Beers
American Pale Wheat Ale,Wheat Beers
German Style Wheat Ale,Wheat Beers
American Wheat Ale or Lager,Wheat Beers
American Wheat Beer,Wheat Beers
American Wheat Beer with Yeast,Wheat Beers
South German Style Hefeweizen,Wheat Beers
South German Style Hefeweizen/Hefeweissbier,Wheat Beers
Berliner Weissbier,Wheat Beers
American Style Wheat Ale or Lager,Wheat Beers
American Style Wheat Beer,Wheat Beers
American Style Wheat Beer with Yeast,Wheat Beers
American Wheat Ale Or Lager,Wheat Beers
American Wheats,Wheat Beers
American Style Wheat Beer With Yeast,Wheat Beers
Wheat Beers,Wheat Beers
Fruit / Vegetable Beer,Wild/Sour Beers
Fruit And Vegetable Beer,Wild/Sour Beers
Fruit Beer,Wild/Sour Beers
Fruit Wheat Beer,Wild/Sour Beers
"Fruit, Vegetable",Wild/Sour Beers
Fruited American Style Sour Ale,Wild/Sour Beers
German Style Sour Ale,Wild/Sour Beers
Fruited Wood  and Barrel Aged Sour Beer,Wild/Sour Beers
Brett Beer,Wild/Sour Beers
American Style Brett Ale,Wild/Sour Beers
American Style Brett Beer,Wild/Sour Beers
Faro,Wild/Sour Beers
Fruit,Wild/Sour Beers
Gueuze,Wild/Sour Beers
Traditional,Wild/Sour Beers
Berliner Weisse,Wild/Sour Beers
Flanders Oud Bruin,Wild/Sour Beers
Flanders Red Ale,Wild/Sour Beers
Gose,Wild/Sour Beers
Wild Ale,Wild/Sour Beers
American Fruit Beer,Wild/Sour Beers
Raspberry Beers,Wild/Sour Beers
American Style Sour Ale,Wild/Sour Beers
Belgian Style Lambic or Sour Ale,Wild/Sour Beers
Belgian Style Sour Ale,Wild/Sour Beers
Cider,Wild/Sour Beers
Field Beer,Wild/Sour Beers
Field Beer or Pumpkin Beer,Wild/Sour Beers
Wood  and Barrel Aged Sour Beer,Wild/Sour Beers
